Path	Start	Prob_imm	isStart	IUPAC	MonoIDs	Monosaccs	Existing glycan
2	SBID6185	0.9982172846794128	False	Glc(a2-3)Gal(b1-3)aldehyde-Gro	[351, 4, 6]	['Glc', 'Gal', 'aldehyde-Gro']	Novel
3	SBID6185	0.8237251043319702	True	NeuNAc(a2-3)Gal(b1-3)GalNAc	[9, 4, 11]	['NeuNAc', 'Gal', 'GalNAc']	Non-immunogenic
3	SBID6185	0.8172634840011597	False	GalNAc(a2-3)Gal(b1-3)GalNAc	[9, 4, 9]	['GalNAc', 'Gal', 'GalNAc']	Novel
3	SBID6185	0.9802362322807312	False	GalNAc(a2-3)Gal(b1-3)GlcNAc	[5, 4, 9]	['GalNAc', 'Gal', 'GlcNAc']	Novel
3	SBID6185	0.9872565269470215	False	Gal(a2-3)Gal(b1-3)GlcNAc	[5, 4, 4]	['Gal', 'Gal', 'GlcNAc']	Novel
3	SBID6185	0.9966828227043152	False	Gal(a2-3)Gal(b1-3)GlcN	[16, 4, 4]	['Gal', 'Gal', 'GlcN']	Novel
3	SBID6185	0.9717381000518799	False	Gal(a2-3)Gal(b1-3)Glc	[6, 4, 4]	['Gal', 'Gal', 'Glc']	Novel
3	SBID6185	0.8814446926116943	False	ManOP(a2-3)Gal(b1-3)Glc	[6, 4, 44]	['ManOP', 'Gal', 'Glc']	Novel
3	SBID6185	0.9959632158279419	False	Galf(a2-3)Gal(b1-3)Glc	[6, 4, 21]	['Galf', 'Gal', 'Glc']	Novel
3	SBID6185	0.9955458641052246	False	Galf(a2-3)Gal(b1-3)Gal	[4, 4, 21]	['Galf', 'Gal', 'Gal']	Novel
3	SBID6185	0.9815016388893127	False	Gal(a2-3)Gal(b1-3)Gal	[4, 4, 4]	['Gal', 'Gal', 'Gal']	Novel
3	SBID6185	0.951259434223175	False	Gal(a2-3)Gal(b1-3)GalOP	[61, 4, 4]	['Gal', 'Gal', 'GalOP']	Novel
4	SBID6185	0.8237251043319702	True	NeuNAc(a2-3)Gal(b1-3)GalNAc	[9, 4, 11]	['NeuNAc', 'Gal', 'GalNAc']	Non-immunogenic
4	SBID6185	0.9874573349952698	False	GlcN(a2-3)Gal(b1-3)GalNAc	[9, 4, 16]	['GlcN', 'Gal', 'GalNAc']	Novel
4	SBID6185	0.999612033367157	False	GlcN(a2-3)Gal(b1-3)D-FucNAc	[34, 4, 16]	['GlcN', 'Gal', 'D-FucNAc']	Novel
4	SBID6185	0.98405522108078	False	Par(a2-3)Gal(b1-3)D-FucNAc	[34, 4, 142]	['Par', 'Gal', 'D-FucNAc']	Novel
4	SBID6185	0.9493592977523804	False	Par(a2-3)GalNAcOS(b1-3)D-FucNAc	[34, 56, 142]	['Par', 'GalNAcOS', 'D-FucNAc']	Novel
4	SBID6185	0.804190456867218	False	Par(a2-3)ManOS(b1-3)D-FucNAc	[34, 124, 142]	['Par', 'ManOS', 'D-FucNAc']	Novel
4	SBID6185	0.41968855261802673	False	Par(a2-3)ManOS(b1-3)GalNAcOS	[56, 124, 142]	['Par', 'ManOS', 'GalNAcOS']	Novel
4	SBID6185	0.3095532953739166	False	Par(a2-3)ManOS(b1-3)GalNAc	[9, 124, 142]	['Par', 'ManOS', 'GalNAc']	Novel
4	SBID6185	0.3491757810115814	False	Par(a2-3)ManOS(b1-3)XylOMe	[104, 124, 142]	['Par', 'ManOS', 'XylOMe']	Novel
4	SBID6185	0.25212419033050537	False	D-FucNAc(a2-3)ManOS(b1-3)XylOMe	[104, 124, 34]	['D-FucNAc', 'ManOS', 'XylOMe']	Novel
4	SBID6185	0.31053364276885986	False	D-Rha(a2-3)ManOS(b1-3)XylOMe	[104, 124, 30]	['D-Rha', 'ManOS', 'XylOMe']	Novel
5	SBID6185	0.8237251043319702	True	NeuNAc(a2-3)Gal(b1-3)GalNAc	[9, 4, 11]	['NeuNAc', 'Gal', 'GalNAc']	Non-immunogenic
5	SBID6185	0.9525148868560791	False	LDManHepOPEtn(a2-3)Gal(b1-3)GalNAc	[9, 4, 22]	['LDManHepOPEtn', 'Gal', 'GalNAc']	Novel
5	SBID6185	0.9974129796028137	False	LDManHepOPEtn(a2-3)Gal(b1-3)Gal	[4, 4, 22]	['LDManHepOPEtn', 'Gal', 'Gal']	Novel
5	SBID6185	0.9961209893226624	False	LDManHepOPEtn(a2-3)Gal(b1-3)QuiNFo	[195, 4, 22]	['LDManHepOPEtn', 'Gal', 'QuiNFo']	Novel
5	SBID6185	0.9934467673301697	False	3,6-Anhydro-L-Gal(a2-3)Gal(b1-3)QuiNFo	[195, 4, 107]	['3,6-Anhydro-L-Gal', 'Gal', 'QuiNFo']	Novel
5	SBID6185	0.9880444407463074	False	ManOAcA(a2-3)Gal(b1-3)QuiNFo	[195, 4, 111]	['ManOAcA', 'Gal', 'QuiNFo']	Novel
5	SBID6185	0.9759976267814636	False	ManOAcA(a2-3)GalOS(b1-3)QuiNFo	[195, 28, 111]	['ManOAcA', 'GalOS', 'QuiNFo']	Novel
5	SBID6185	0.9957222938537598	False	ManOAcA(a2-3)RhaOPGro(b1-3)QuiNFo	[195, 353, 111]	['ManOAcA', 'RhaOPGro', 'QuiNFo']	Novel
5	SBID6185	0.9993481040000916	False	Glc(a2-3)RhaOPGro(b1-3)QuiNFo	[195, 353, 6]	['Glc', 'RhaOPGro', 'QuiNFo']	Novel
5	SBID6185	0.995806097984314	False	GlcAOPyr(a2-3)RhaOPGro(b1-3)QuiNFo	[195, 353, 238]	['GlcAOPyr', 'RhaOPGro', 'QuiNFo']	Novel
5	SBID6185	0.998611569404602	False	GlcAOPyr(a2-3)RhaOPGro(b1-3)Gal-ol	[92, 353, 238]	['GlcAOPyr', 'RhaOPGro', 'Gal-ol']	Novel
6	SBID6185	0.8237251043319702	True	NeuNAc(a2-3)Gal(b1-3)GalNAc	[9, 4, 11]	['NeuNAc', 'Gal', 'GalNAc']	Non-immunogenic
6	SBID6185	0.9903864860534668	False	NeuNAc(a2-3)Gal(b1-3)aldehyde-L-Gro	[156, 4, 11]	['NeuNAc', 'Gal', 'aldehyde-L-Gro']	Novel
6	SBID6185	0.9965952038764954	False	DDGalHepOMe(a2-3)Gal(b1-3)aldehyde-L-Gro	[156, 4, 261]	['DDGalHepOMe', 'Gal', 'aldehyde-L-Gro']	Novel
6	SBID6185	0.998661994934082	False	DDGalHepOMe(a2-3)a-Tri-ol(b1-3)aldehyde-L-Gro	[156, 45, 261]	['DDGalHepOMe', 'a-Tri-ol', 'aldehyde-L-Gro']	Novel
6	SBID6185	0.9992601275444031	False	DDGalHepOMe(a2-3)GlcNAcOAc(b1-3)aldehyde-L-Gro	[156, 66, 261]	['DDGalHepOMe', 'GlcNAcOAc', 'aldehyde-L-Gro']	Novel
6	SBID6185	0.999423623085022	False	DDGalHepOMe(a2-3)GlcOPGro(b1-3)aldehyde-L-Gro	[156, 128, 261]	['DDGalHepOMe', 'GlcOPGro', 'aldehyde-L-Gro']	Novel
6	SBID6185	0.9996086955070496	False	DDGalHepOMe(a2-3)Rha(b1-3)aldehyde-L-Gro	[156, 10, 261]	['DDGalHepOMe', 'Rha', 'aldehyde-L-Gro']	Novel
6	SBID6185	0.998839795589447	False	DDGalHepOMe(a2-3)L-GalNAcA(b1-3)aldehyde-L-Gro	[156, 120, 261]	['DDGalHepOMe', 'L-GalNAcA', 'aldehyde-L-Gro']	Novel
6	SBID6185	0.9980815649032593	False	DDGalHepOMe(a2-3)L-GalNAcA(b1-3)D-FucNAc	[34, 120, 261]	['DDGalHepOMe', 'L-GalNAcA', 'D-FucNAc']	Novel
6	SBID6185	0.9741894602775574	False	DDGalHepOMe(a2-3)L-GalNAcA(b1-3)D-Rha	[30, 120, 261]	['DDGalHepOMe', 'L-GalNAcA', 'D-Rha']	Novel
6	SBID6185	0.9981460571289062	False	DDGalHepOMe(a2-3)L-GalNAcA(b1-3)GalAGroN	[224, 120, 261]	['DDGalHepOMe', 'L-GalNAcA', 'GalAGroN']	Novel
7	SBID6185	0.8237251043319702	True	NeuNAc(a2-3)Gal(b1-3)GalNAc	[9, 4, 11]	['NeuNAc', 'Gal', 'GalNAc']	Non-immunogenic
7	SBID6185	0.8172634840011597	False	GalNAc(a2-3)Gal(b1-3)GalNAc	[9, 4, 9]	['GalNAc', 'Gal', 'GalNAc']	Novel
7	SBID6185	0.9823735952377319	False	GalNAc(a2-3)Gal(b1-3)Gal	[4, 4, 9]	['GalNAc', 'Gal', 'Gal']	Novel
7	SBID6185	0.9890368580818176	False	NeuNAc(a2-3)Gal(b1-3)Gal	[4, 4, 11]	['NeuNAc', 'Gal', 'Gal']	Novel
7	SBID6185	0.9881779551506042	False	GlcOFer(a2-3)Gal(b1-3)Gal	[4, 4, 180]	['GlcOFer', 'Gal', 'Gal']	Novel
7	SBID6185	0.6186988949775696	False	GlcOFer(a2-3)Gal(b1-3)GalNAc	[9, 4, 180]	['GlcOFer', 'Gal', 'GalNAc']	Novel
7	SBID6185	0.945460855960846	False	GlcOFer(a2-3)Gal(b1-3)Glc	[6, 4, 180]	['GlcOFer', 'Gal', 'Glc']	Novel
7	SBID6185	0.9933075308799744	False	Glc(a2-3)Gal(b1-3)Glc	[6, 4, 6]	['Glc', 'Gal', 'Glc']	Novel
7	SBID6185	0.9906784892082214	False	Glc(a2-3)Fruf(b1-3)Glc	[6, 31, 6]	['Glc', 'Fruf', 'Glc']	Novel
7	SBID6185	0.9912933707237244	False	Glc(a2-3)Glc(b1-3)Glc	[6, 6, 6]	['Glc', 'Glc', 'Glc']	Novel
7	SBID6185	0.9817501306533813	False	Glc(a2-3)D-FucOMe(b1-3)Glc	[6, 130, 6]	['Glc', 'D-FucOMe', 'Glc']	Novel
8	SBID6185	0.8237251043319702	True	NeuNAc(a2-3)Gal(b1-3)GalNAc	[9, 4, 11]	['NeuNAc', 'Gal', 'GalNAc']	Non-immunogenic
8	SBID6185	0.9840690493583679	False	NeuNAc(a2-3)Gal(b1-3)Fruf	[31, 4, 11]	['NeuNAc', 'Gal', 'Fruf']	Novel
8	SBID6185	0.9968034029006958	False	NeuNAc(a2-3)Gal(b1-3)Gal-ol	[92, 4, 11]	['NeuNAc', 'Gal', 'Gal-ol']	Novel
8	SBID6185	0.9984532594680786	False	3,6-Anhydro-L-Gal(a2-3)Gal(b1-3)Gal-ol	[92, 4, 107]	['3,6-Anhydro-L-Gal', 'Gal', 'Gal-ol']	Novel
8	SBID6185	0.963049590587616	False	Xyl(a2-3)Gal(b1-3)Gal-ol	[92, 4, 15]	['Xyl', 'Gal', 'Gal-ol']	Novel
8	SBID6185	0.996717631816864	False	Qui(a2-3)Gal(b1-3)Gal-ol	[92, 4, 63]	['Qui', 'Gal', 'Gal-ol']	Novel
8	SBID6185	0.9994155168533325	False	Rha(a2-3)Gal(b1-3)Gal-ol	[92, 4, 10]	['Rha', 'Gal', 'Gal-ol']	Novel
8	SBID6185	0.9946193695068359	False	GalNAc(a2-3)Gal(b1-3)Gal-ol	[92, 4, 9]	['GalNAc', 'Gal', 'Gal-ol']	Novel
8	SBID6185	0.9960736036300659	False	NeuNGc(a2-3)Gal(b1-3)Gal-ol	[92, 4, 20]	['NeuNGc', 'Gal', 'Gal-ol']	Novel
8	SBID6185	0.9984532594680786	False	3,6-Anhydro-L-Gal(a2-3)Gal(b1-3)Gal-ol	[92, 4, 107]	['3,6-Anhydro-L-Gal', 'Gal', 'Gal-ol']	Novel
8	SBID6185	0.9995667338371277	False	GalNAcA(a2-3)Gal(b1-3)Gal-ol	[92, 4, 73]	['GalNAcA', 'Gal', 'Gal-ol']	Novel
9	SBID6185	0.8237251043319702	True	NeuNAc(a2-3)Gal(b1-3)GalNAc	[9, 4, 11]	['NeuNAc', 'Gal', 'GalNAc']	Non-immunogenic
9	SBID6185	0.9460594654083252	False	NeuNAc(a2-3)Gal(b1-3)D-3dLyxHepUlosaric	[349, 4, 11]	['NeuNAc', 'Gal', 'D-3dLyxHepUlosaric']	Novel
9	SBID6185	0.9484180808067322	False	NeuNGc(a2-3)Gal(b1-3)D-3dLyxHepUlosaric	[349, 4, 20]	['NeuNGc', 'Gal', 'D-3dLyxHepUlosaric']	Novel
9	SBID6185	0.8841102719306946	False	Gal(a2-3)Gal(b1-3)D-3dLyxHepUlosaric	[349, 4, 4]	['Gal', 'Gal', 'D-3dLyxHepUlosaric']	Novel
9	SBID6185	0.9331725239753723	False	GalNAc(a2-3)Gal(b1-3)D-3dLyxHepUlosaric	[349, 4, 9]	['GalNAc', 'Gal', 'D-3dLyxHepUlosaric']	Novel
9	SBID6185	0.9651026725769043	False	RhaOAc(a2-3)Gal(b1-3)D-3dLyxHepUlosaric	[349, 4, 52]	['RhaOAc', 'Gal', 'D-3dLyxHepUlosaric']	Novel
9	SBID6185	0.9331725239753723	False	GalNAc(a2-3)Gal(b1-3)D-3dLyxHepUlosaric	[349, 4, 9]	['GalNAc', 'Gal', 'D-3dLyxHepUlosaric']	Novel
9	SBID6185	0.955055296421051	False	GlcNAc(a2-3)Gal(b1-3)D-3dLyxHepUlosaric	[349, 4, 5]	['GlcNAc', 'Gal', 'D-3dLyxHepUlosaric']	Novel
9	SBID6185	0.9919513463973999	False	GlcNAc(a2-3)QuiN(b1-3)D-3dLyxHepUlosaric	[349, 86, 5]	['GlcNAc', 'QuiN', 'D-3dLyxHepUlosaric']	Novel
9	SBID6185	0.9974251985549927	False	QuiNAc(a2-3)QuiN(b1-3)D-3dLyxHepUlosaric	[349, 86, 23]	['QuiNAc', 'QuiN', 'D-3dLyxHepUlosaric']	Novel
9	SBID6185	0.9919513463973999	False	GlcNAc(a2-3)QuiN(b1-3)D-3dLyxHepUlosaric	[349, 86, 5]	['GlcNAc', 'QuiN', 'D-3dLyxHepUlosaric']	Novel
10	SBID6185	0.8237251043319702	True	NeuNAc(a2-3)Gal(b1-3)GalNAc	[9, 4, 11]	['NeuNAc', 'Gal', 'GalNAc']	Non-immunogenic
10	SBID6185	0.7039341926574707	False	Gal(a2-3)Gal(b1-3)GalNAc	[9, 4, 4]	['Gal', 'Gal', 'GalNAc']	Novel
10	SBID6185	0.9725943803787231	False	Gal(a2-3)Gal(b1-3)NeuNAc	[11, 4, 4]	['Gal', 'Gal', 'NeuNAc']	Novel
10	SBID6185	0.9950566291809082	False	D-6dXylHexN4Ulo(a2-3)Gal(b1-3)NeuNAc	[11, 4, 319]	['D-6dXylHexN4Ulo', 'Gal', 'NeuNAc']	Novel
10	SBID6185	0.9982074499130249	False	D-6dXylHexN4Ulo(a2-3)Gal(b1-3)Gal	[4, 4, 319]	['D-6dXylHexN4Ulo', 'Gal', 'Gal']	Novel
10	SBID6185	0.9914637207984924	False	D-6dXylHexN4Ulo(a2-3)Gal(b1-3)Glc	[6, 4, 319]	['D-6dXylHexN4Ulo', 'Gal', 'Glc']	Novel
10	SBID6185	0.9988093376159668	False	D-6dXylHexN4Ulo(a2-3)Galf(b1-3)Glc	[6, 21, 319]	['D-6dXylHexN4Ulo', 'Galf', 'Glc']	Novel
10	SBID6185	0.9977756142616272	False	D-6dXylHexN4Ulo(a2-3)Galf(b1-3)GlcOMe	[46, 21, 319]	['D-6dXylHexN4Ulo', 'Galf', 'GlcOMe']	Novel
10	SBID6185	0.9988322854042053	False	D-6dXylHexN4Ulo(a2-3)ManNAcA(b1-3)GlcOMe	[46, 49, 319]	['D-6dXylHexN4Ulo', 'ManNAcA', 'GlcOMe']	Novel
10	SBID6185	0.9813505411148071	False	D-6dXylHexN4Ulo(a2-3)2,7-Anhydro-Kdo(b1-3)GlcOMe	[46, 296, 319]	['D-6dXylHexN4Ulo', '2,7-Anhydro-Kdo', 'GlcOMe']	Novel
10	SBID6185	0.9974244832992554	False	D-6dXylHexN4Ulo(a2-3)2,7-Anhydro-Kdo(b1-3)GalOMe	[36, 296, 319]	['D-6dXylHexN4Ulo', '2,7-Anhydro-Kdo', 'GalOMe']	Novel
11	SBID6185	0.8237251043319702	True	NeuNAc(a2-3)Gal(b1-3)GalNAc	[9, 4, 11]	['NeuNAc', 'Gal', 'GalNAc']	Non-immunogenic
11	SBID6185	0.8172634840011597	False	GalNAc(a2-3)Gal(b1-3)GalNAc	[9, 4, 9]	['GalNAc', 'Gal', 'GalNAc']	Novel
11	SBID6185	0.8841232061386108	False	GalNAc(a2-3)GalNAc(b1-3)GalNAc	[9, 9, 9]	['GalNAc', 'GalNAc', 'GalNAc']	Novel
11	SBID6185	0.9740405678749084	False	GalNAc(a2-3)GalNAc(b1-3)DDManHepOPGroA	[384, 9, 9]	['GalNAc', 'GalNAc', 'DDManHepOPGroA']	Novel
11	SBID6185	0.8871678709983826	False	GalNAc(a2-3)GalNAcOS(b1-3)DDManHepOPGroA	[384, 56, 9]	['GalNAc', 'GalNAcOS', 'DDManHepOPGroA']	Novel
11	SBID6185	0.9497126936912537	False	NeuNAcOS(a2-3)GalNAcOS(b1-3)DDManHepOPGroA	[384, 56, 257]	['NeuNAcOS', 'GalNAcOS', 'DDManHepOPGroA']	Novel
11	SBID6185	0.9984602928161621	False	NeuNAcOS(a2-3)GlcNAcNAmA(b1-3)DDManHepOPGroA	[384, 341, 257]	['NeuNAcOS', 'GlcNAcNAmA', 'DDManHepOPGroA']	Novel
11	SBID6185	0.9930403232574463	False	GlcNAcOS(a2-3)GlcNAcNAmA(b1-3)DDManHepOPGroA	[384, 341, 26]	['GlcNAcOS', 'GlcNAcNAmA', 'DDManHepOPGroA']	Novel
11	SBID6185	0.9961439371109009	False	Gal(a2-3)GlcNAcNAmA(b1-3)DDManHepOPGroA	[384, 341, 4]	['Gal', 'GlcNAcNAmA', 'DDManHepOPGroA']	Novel
11	SBID6185	0.9995225667953491	False	GlcOPN(a2-3)GlcNAcNAmA(b1-3)DDManHepOPGroA	[384, 341, 18]	['GlcOPN', 'GlcNAcNAmA', 'DDManHepOPGroA']	Novel
11	SBID6185	0.99903404712677	False	D-6dXylHexN4Ulo(a2-3)GlcNAcNAmA(b1-3)DDManHepOPGroA	[384, 341, 319]	['D-6dXylHexN4Ulo', 'GlcNAcNAmA', 'DDManHepOPGroA']	Novel
12	SBID6185	0.8237251043319702	True	NeuNAc(a2-3)Gal(b1-3)GalNAc	[9, 4, 11]	['NeuNAc', 'Gal', 'GalNAc']	Non-immunogenic
12	SBID6185	0.9890368580818176	False	NeuNAc(a2-3)Gal(b1-3)Gal	[4, 4, 11]	['NeuNAc', 'Gal', 'Gal']	Novel
12	SBID6185	0.978455126285553	False	NeuNAc(a2-3)Gal(b1-3)Glc	[6, 4, 11]	['NeuNAc', 'Gal', 'Glc']	Novel
12	SBID6185	0.987504780292511	False	L-Gro-onic(a2-3)Gal(b1-3)Glc	[6, 4, 266]	['L-Gro-onic', 'Gal', 'Glc']	Novel
12	SBID6185	0.9889063835144043	False	L-Gro-onic(a2-3)DDManHepOPGroA(b1-3)Glc	[6, 384, 266]	['L-Gro-onic', 'DDManHepOPGroA', 'Glc']	Novel
12	SBID6185	0.9992819428443909	False	L-Gro-onic(a2-3)DDManHepOPGroA(b1-3)GlcNAcOAc	[66, 384, 266]	['L-Gro-onic', 'DDManHepOPGroA', 'GlcNAcOAc']	Novel
12	SBID6185	0.9970672726631165	False	L-Gro-onic(a2-3)DDManHepOPGroA(b1-3)GlcNAcOP	[57, 384, 266]	['L-Gro-onic', 'DDManHepOPGroA', 'GlcNAcOP']	Novel
12	SBID6185	0.9943799376487732	False	D-6dTalOMe(a2-3)DDManHepOPGroA(b1-3)GlcNAcOP	[57, 384, 216]	['D-6dTalOMe', 'DDManHepOPGroA', 'GlcNAcOP']	Novel
12	SBID6185	0.9924212098121643	False	Gal(a2-3)DDManHepOPGroA(b1-3)GlcNAcOP	[57, 384, 4]	['Gal', 'DDManHepOPGroA', 'GlcNAcOP']	Novel
12	SBID6185	0.9773589968681335	False	GalNAc(a2-3)DDManHepOPGroA(b1-3)GlcNAcOP	[57, 384, 9]	['GalNAc', 'DDManHepOPGroA', 'GlcNAcOP']	Novel
12	SBID6185	0.9974749684333801	False	D-FucNAc(a2-3)DDManHepOPGroA(b1-3)GlcNAcOP	[57, 384, 34]	['D-FucNAc', 'DDManHepOPGroA', 'GlcNAcOP']	Novel
13	SBID6185	0.8237251043319702	True	NeuNAc(a2-3)Gal(b1-3)GalNAc	[9, 4, 11]	['NeuNAc', 'Gal', 'GalNAc']	Non-immunogenic
13	SBID6185	0.9788658022880554	False	KdoOP(a2-3)Gal(b1-3)GalNAc	[9, 4, 35]	['KdoOP', 'Gal', 'GalNAc']	Novel
13	SBID6185	0.9996281862258911	False	KdoOP(a2-3)Gal(b1-3)GlcNAc	[5, 4, 35]	['KdoOP', 'Gal', 'GlcNAc']	Novel
13	SBID6185	0.9788658022880554	False	KdoOP(a2-3)Gal(b1-3)GalNAc	[9, 4, 35]	['KdoOP', 'Gal', 'GalNAc']	Novel
13	SBID6185	0.9996281862258911	False	KdoOP(a2-3)Gal(b1-3)GlcNAc	[5, 4, 35]	['KdoOP', 'Gal', 'GlcNAc']	Novel
13	SBID6185	0.9788658022880554	False	KdoOP(a2-3)Gal(b1-3)GalNAc	[9, 4, 35]	['KdoOP', 'Gal', 'GalNAc']	Novel
13	SBID6185	0.9992936849594116	False	KdoOP(a2-3)Gal(b1-3)GlcOMeOPyr	[358, 4, 35]	['KdoOP', 'Gal', 'GlcOMeOPyr']	Novel
13	SBID6185	0.9981864094734192	False	KdoOP(a2-3)GalOS(b1-3)GlcOMeOPyr	[358, 28, 35]	['KdoOP', 'GalOS', 'GlcOMeOPyr']	Novel
13	SBID6185	0.9996755123138428	False	KdoOP(a2-3)GalNAcA(b1-3)GlcOMeOPyr	[358, 73, 35]	['KdoOP', 'GalNAcA', 'GlcOMeOPyr']	Novel
13	SBID6185	0.9990888833999634	False	KdoOP(a2-3)D-RhaNAc(b1-3)GlcOMeOPyr	[358, 109, 35]	['KdoOP', 'D-RhaNAc', 'GlcOMeOPyr']	Novel
13	SBID6185	0.9998776912689209	False	KdoOP(a2-3)Rha(b1-3)GlcOMeOPyr	[358, 10, 35]	['KdoOP', 'Rha', 'GlcOMeOPyr']	Novel
14	SBID6185	0.8237251043319702	True	NeuNAc(a2-3)Gal(b1-3)GalNAc	[9, 4, 11]	['NeuNAc', 'Gal', 'GalNAc']	Non-immunogenic
14	SBID6185	0.967069685459137	False	Glc(a2-3)Gal(b1-3)GalNAc	[9, 4, 6]	['Glc', 'Gal', 'GalNAc']	Novel
14	SBID6185	0.9975927472114563	False	Glc(a2-3)Gal(b1-3)D-RibHex	[297, 4, 6]	['Glc', 'Gal', 'D-RibHex']	Novel
14	SBID6185	0.9981270432472229	False	Glc(a2-3)GlcNAc(b1-3)D-RibHex	[297, 5, 6]	['Glc', 'GlcNAc', 'D-RibHex']	Novel
14	SBID6185	0.9982764720916748	False	Glc(a2-3)D-AraHex(b1-3)D-RibHex	[297, 166, 6]	['Glc', 'D-AraHex', 'D-RibHex']	Novel
14	SBID6185	0.9984602928161621	False	RhaGro(a2-3)D-AraHex(b1-3)D-RibHex	[297, 166, 183]	['RhaGro', 'D-AraHex', 'D-RibHex']	Novel
14	SBID6185	0.988378643989563	False	GlcNAcA(a2-3)D-AraHex(b1-3)D-RibHex	[297, 166, 96]	['GlcNAcA', 'D-AraHex', 'D-RibHex']	Novel
14	SBID6185	0.9982764720916748	False	Glc(a2-3)D-AraHex(b1-3)D-RibHex	[297, 166, 6]	['Glc', 'D-AraHex', 'D-RibHex']	Novel
14	SBID6185	0.9796618223190308	False	Gal(a2-3)D-AraHex(b1-3)D-RibHex	[297, 166, 4]	['Gal', 'D-AraHex', 'D-RibHex']	Novel
14	SBID6185	0.932870626449585	False	GlcOAcOOle(a2-3)D-AraHex(b1-3)D-RibHex	[297, 166, 355]	['GlcOAcOOle', 'D-AraHex', 'D-RibHex']	Novel
14	SBID6185	0.9966779947280884	False	aldehyde-L-Gro(a2-3)D-AraHex(b1-3)D-RibHex	[297, 166, 156]	['aldehyde-L-Gro', 'D-AraHex', 'D-RibHex']	Novel
